Group,Individual_No,Sex,Reproductive_female_in_pair,Days_after_adult_emergence,Body_weight_mg
A,43,female,no,30,17.9
A,44,male,no,30,NA
A,45,male,no,30,15.5
A,46,male,yes,30,15.7
A,47,male,no,30,16.1
A,48,female,no,30,21.2
A,49,female,yes,30,21.2
A,50,female,no,30,NA
A,51,male,no,30,16.8
A,52,male,no,30,13.4
A,53,male,no,30,NA
A,54,male,no,30,14.2
A,55,male,no,30,15.3
A,56,female,no,30,19.8
A,57,female,no,30,20
A,58,female,no,30,19.3
A,59,female,no,30,18.4
A,60,female,no,30,19.5
A,61,male,no,30,14.6
A,62,male,no,30,16.1
A,63,male,no,30,15.3
A,64,male,yes,30,14.3
A,65,male,no,30,15.6
A,66,female,no,30,19.7
A,67,female,no,30,18.6
A,68,female,no,30,20.6
A,69,female,yes,30,21.7
A,70,female,no,30,20.5
A,71,male,no,30,16.1
A,72,male,no,30,17.3
A,73,male,no,30,16.3
A,74,male,yes,30,NA
A,75,male,no,30,14.9
A,76,female,no,30,21.8
A,77,female,no,30,24.6
A,78,female,no,30,20.6
A,79,female,yes,30,20.5
A,80,female,no,30,17.9
B,1,male,yes,30,14.6
B,2,female,yes,30,21.7
B,3,male,no,30,16.2
B,4,female,no,30,22.2
B,5,female,no,30,21.4
B,6,female,no,30,21.4
B,7,female,yes,30,20.7
B,8,male,no,30,17.1
B,9,male,no,30,14.5
B,10,female,no,30,20.3
B,11,female,no,30,19.8
B,12,male,no,30,17.7
B,13,male,no,30,14.9
B,14,male,yes,30,16.7
B,15,male,no,30,16.9
B,16,male,yes,30,13.8
B,17,male,yes,30,15.4
B,18,male,yes,30,15.8
B,19,female,no,30,23.1
B,20,female,yes,30,23.3
B,21,female,yes,30,22.4
B,22,female,yes,30,22.7
B,23,male,yes,30,NA
B,24,male,no,30,15.9
B,25,male,no,30,NA
B,26,male,yes,30,14.3
B,27,male,no,30,15.6
B,28,male,no,30,15.9
B,29,female,yes,30,21.9
B,30,female,no,30,23.1
B,31,female,no,30,21.9
B,32,female,yes,30,22.4
B,33,female,no,30,23.9
B,34,female,no,30,17.8
B,35,male,yes,30,16
B,36,male,yes,30,15
B,37,male,no,30,16.4
B,38,male,no,30,13.9
B,39,female,yes,30,18.3
B,40,female,yes,30,22.9
B,41,female,no,30,22.3
B,42,female,no,30,21.5
B,43,male,no,30,15.7
B,44,male,no,30,15.3
B,45,male,no,30,15.3
B,46,male,no,30,13.5
B,47,female,no,30,21
B,48,female,no,30,19.8
B,49,female,no,30,20.7
B,50,female,no,30,19.6
B,51,male,no,30,15.9
B,52,male,yes,30,15.1
B,53,male,no,30,16.3
B,54,female,no,30,20.4
B,55,female,yes,30,21
B,56,female,no,30,22.3
B,57,male,yes,30,16.9
B,58,male,no,30,14.7
B,59,male,no,30,17.5
B,60,female,yes,30,22.7
B,61,female,no,30,22.7
B,62,female,no,30,21.9
B,63,male,yes,30,15.1
B,64,male,no,30,15.6
B,65,male,no,30,13.9
B,66,female,yes,30,21.8
B,67,female,no,30,21
B,68,female,no,30,19.6
B,69,male,no,30,14.9
B,70,male,yes,30,14.7
B,71,male,no,30,14.1
B,72,female,no,30,19.2
B,73,female,yes,30,NA
B,74,female,no,30,19.7
B,75,male,no,30,13.6
B,76,male,no,30,15.2
B,77,female,no,30,19.7
B,78,female,no,30,20.6
B,79,male,no,30,16
B,80,female,no,30,21
C,1,female,yes,30,20.8
C,2,female,yes,30,18.1
C,3,female,yes,30,20.1
C,4,male,yes,30,16.2
C,5,male,yes,30,15.5
C,6,male,yes,30,13.8
C,7,male,no,30,13.2
C,8,female,no,30,19.9
C,9,male,yes,30,14.3
C,10,male,yes,30,14.2
C,11,male,yes,30,14.7
C,12,male,yes,30,14.6
C,13,male,no,30,15.3
C,14,male,no,30,13.8
C,15,female,yes,30,25.4
C,16,female,yes,30,20.1
C,17,female,yes,30,21.4
C,18,female,yes,30,18.3
C,19,female,no,30,16.5
C,20,female,no,30,20.1
C,21,male,no,30,15.7
C,22,female,no,30,22.4
C,23,female,no,30,19.7
C,24,female,yes,30,21.6
C,25,female,no,30,19.4
C,26,male,yes,30,14.1
C,27,male,no,30,14.2
C,28,male,no,30,15.7
C,29,male,no,30,15.3
C,30,male,no,30,14.4
C,31,female,yes,30,19.6
C,32,female,no,30,18.8
C,33,female,no,30,18.3
C,34,female,no,30,20
C,35,female,no,30,18.5
C,36,male,yes,30,14.1
C,37,male,no,30,14.5
C,38,male,no,30,NA
C,39,male,no,30,16
C,40,male,no,30,15.4
C,41,male,no,30,13.7
C,42,female,no,30,17.8
C,43,female,no,30,18.8
C,44,female,yes,30,19.7
C,45,male,yes,30,15.5
C,46,male,yes,30,14.2
C,47,male,no,30,16.3
C,48,female,yes,30,20.7
C,49,female,yes,30,21.3
C,50,female,no,30,19.3
C,51,male,no,30,13.8
C,52,male,no,30,14.9
C,53,male,yes,30,15.3
C,54,male,no,30,14.2
C,55,male,no,30,15.6
C,56,female,no,30,19.5
C,57,female,no,30,19.3
C,58,female,yes,30,20.4
C,59,female,no,30,20.2
C,60,female,no,30,18.8
C,61,male,no,30,15.8
C,62,male,no,30,14.3
C,63,male,no,30,NA
C,64,male,yes,30,14.4
C,65,male,no,30,13.5
C,66,female,no,30,20.2
C,67,female,no,30,19.5
C,68,female,yes,30,21.3
C,69,female,no,30,NA
C,70,female,no,30,20.1
C,71,male,no,30,16.7
C,72,male,no,30,14.1
C,73,male,no,30,16.2
C,74,male,no,30,14.5
C,75,male,yes,30,19.8
C,76,female,no,30,17.7
C,77,female,no,30,19.5
C,78,female,no,30,18.4
C,79,female,no,30,19.7
C,80,female,yes,30,22.6
D,1,female,no,30,20.2
D,2,male,no,30,15.3
D,3,male,no,30,15.9
D,4,female,no,30,20.5
D,5,male,no,30,16.8
D,6,male,no,30,14.2
D,7,male,no,30,18
D,8,male,no,30,15.2
D,9,male,no,30,15.1
D,10,female,no,30,21.1
D,11,female,no,30,22.4
D,12,female,no,30,NA
D,13,female,no,30,22.1
D,14,male,yes,30,15.4
D,15,male,yes,30,NA
D,16,female,no,30,19.3
D,17,female,yes,30,19.5
D,18,female,yes,30,NA
D,19,male,no,30,17.3
D,20,male,no,30,15.5
D,21,female,no,30,20.6
D,22,female,no,30,20.2
D,23,male,no,30,15.1
D,24,male,yes,30,15.5
D,25,male,yes,30,16.1
D,26,female,no,30,19.4
D,27,female,yes,30,18
D,28,female,yes,30,22.5
D,29,male,no,30,15.8
D,30,female,no,30,20.7
D,31,male,yes,30,16.1
D,32,male,no,30,16.9
D,33,female,yes,30,22.2
D,34,female,no,30,18
D,35,male,no,30,14.9
D,36,male,no,30,13.4
D,37,male,no,30,14.3
D,38,male,no,30,15.2
D,39,male,no,30,15.8
D,40,female,no,30,17.4
D,41,female,no,30,17.2
D,42,female,no,30,21.6
D,43,female,no,30,NA
D,44,female,no,30,18.5
D,45,male,no,30,NA
D,46,male,no,30,14.8
D,47,female,no,30,NA
D,48,female,no,30,18.9
D,49,male,no,30,13.3
D,50,male,no,30,14.8
D,51,female,no,30,NA
D,52,female,no,30,20.4
D,53,male,yes,30,16.2
D,54,male,no,30,NA
D,55,male,no,30,16.6
D,56,female,yes,30,NA
D,57,female,no,30,NA
D,58,female,no,30,20.4
D,59,male,yes,30,15.8
D,60,male,no,30,17.3
D,61,male,no,30,14.7
D,62,female,yes,30,22.2
D,63,female,no,30,18.6
D,64,female,no,30,18.8
D,65,male,no,30,15.2
D,66,male,no,30,15.4
D,67,male,no,30,14.8
D,68,female,no,30,21
D,69,female,no,30,17.7
D,70,female,no,30,17.4
D,71,male,no,30,14.4
D,72,male,no,30,14.5
D,73,male,no,30,15.4
D,74,male,no,30,15.8
D,75,female,no,30,18.2
D,76,female,no,30,17.5
D,77,female,no,30,18.8
D,78,female,no,30,20.3
D,79,male,no,30,14.2
D,80,female,no,30,NA
