Group,Individual_No,Sex,Reproductive_female_in_pair,Days_after_adult_emergence,Body_weight_mg
D,50,male,no,0,13.6
D,51,female,no,0,19
D,52,female,no,0,18
D,53,male,yes,0,14
D,54,male,no,0,14.5
D,55,male,no,0,14
D,56,female,yes,0,19.1
D,57,female,no,0,16.8
D,58,female,no,0,16.5
D,59,male,yes,0,14.7
D,60,male,no,0,12.8
D,61,male,no,0,13.7
D,62,female,yes,0,18.4
D,63,female,no,0,16.9
D,64,female,no,0,17.3
D,65,male,no,0,13.6
D,66,male,no,0,14.5
D,67,male,no,0,13.6
D,68,female,no,0,16.4
D,69,female,no,0,16.2
D,70,female,no,0,17.8
D,71,male,no,0,13.1
D,72,male,no,0,12.1
D,73,male,no,0,12
D,74,male,no,0,12.8
D,75,female,no,0,16
D,76,female,no,0,17.4
D,77,female,no,0,17
D,78,female,no,0,16.2
D,79,male,no,0,13.9
D,80,female,no,0,19.2
A,1,male,yes,5,NA
A,2,female,yes,5,NA
A,3,female,no,5,NA
A,4,male,no,5,NA
A,5,male,no,5,NA
A,6,male,no,5,NA
A,7,male,yes,5,NA
A,8,female,no,5,NA
A,9,female,no,5,NA
A,10,female,yes,5,NA
A,11,male,yes,5,15.5
A,12,male,yes,5,17.7
A,13,male,yes,5,15
A,14,male,no,5,16.6
A,15,male,yes,5,13.2
A,16,female,yes,5,20.6
A,17,female,yes,5,21.1
A,18,female,yes,5,21.9
A,19,female,no,5,20.6
A,20,female,yes,5,22.6
A,21,male,yes,5,15.1
A,22,male,yes,5,12.3
A,23,male,no,5,14.9
A,24,male,no,5,13.4
A,25,male,no,5,12.9
A,26,female,yes,5,21.5
A,27,female,yes,5,16.9
A,28,female,no,5,20.2
A,29,female,no,5,21.5
A,30,female,no,5,22.6
A,31,male,yes,5,11
A,32,female,yes,5,19.5
A,33,female,yes,5,17.9
A,34,female,no,5,18.5
A,35,female,no,5,19.3
A,36,male,no,5,13.6
A,37,male,yes,5,14.6
A,38,male,no,5,16.2
A,39,male,yes,5,16.4
A,40,male,no,5,15.9
A,41,female,yes,5,23.6
A,42,female,yes,5,22.5
A,43,female,no,5,20.7
A,44,male,no,5,14
A,45,male,no,5,15.5
A,46,male,yes,5,16.3
A,47,male,no,5,NA
A,48,female,no,5,22.7
A,49,female,yes,5,23.4
A,50,female,no,5,NA
A,51,male,no,5,15.8
A,52,male,no,5,13.9
A,53,male,no,5,14.2
A,54,male,no,5,15.2
A,55,male,no,5,15.4
A,56,female,no,5,22.5
A,57,female,no,5,22.9
A,58,female,no,5,21
A,59,female,no,5,21.4
A,60,female,no,5,23.2
A,61,male,no,5,14.8
A,62,male,no,5,15.6
A,63,male,no,5,16.7
A,64,male,yes,5,14.2
A,65,male,no,5,15.2
A,66,female,no,5,23.7
A,67,female,no,5,21
A,68,female,no,5,25.4
A,69,female,yes,5,23.6
A,70,female,no,5,22.2
A,71,male,no,5,15.1
A,72,male,no,5,14.6
A,73,male,no,5,14.7
A,74,male,yes,5,16.2
A,75,male,no,5,NA
A,76,female,no,5,22.9
A,77,female,no,5,25.5
A,78,female,no,5,22.2
A,79,female,yes,5,22.1
A,80,female,no,5,19.5
B,1,male,yes,5,15
B,2,female,yes,5,21.6
B,3,male,no,5,12.4
B,4,female,no,5,22.6
B,5,female,no,5,21.6
B,6,female,no,5,21
B,7,female,yes,5,15.6
B,8,male,no,5,17
B,9,male,no,5,12.6
B,10,female,no,5,19.8
B,11,female,no,5,22
B,12,male,no,5,15.7
B,13,male,no,5,15.1
B,14,male,yes,5,16.5
B,15,male,no,5,15.8
B,16,male,yes,5,14.5
B,17,male,yes,5,16.6
B,18,male,yes,5,15.9
B,19,female,no,5,24.6
B,20,female,yes,5,20.3
B,21,female,yes,5,22.7
B,22,female,yes,5,22.5
B,23,male,yes,5,15.2
B,24,male,no,5,14.4
B,25,male,no,5,16
B,26,male,yes,5,13.5
B,27,male,no,5,14
B,28,male,no,5,14.6
B,29,female,yes,5,20.8
B,30,female,no,5,22.6
B,31,female,no,5,20.8
B,32,female,yes,5,21.2
B,33,female,no,5,22.7
B,34,female,no,5,19.2
B,35,male,yes,5,14.5
B,36,male,yes,5,13.4
B,37,male,no,5,15.1
B,38,male,no,5,14.1
B,39,female,yes,5,18.8
B,40,female,yes,5,19.3
B,41,female,no,5,20.5
B,42,female,no,5,23.1
B,43,male,no,5,15.7
B,44,male,no,5,15.4
B,45,male,no,5,15.3
B,46,male,no,5,11.7
B,47,female,no,5,22.3
B,48,female,no,5,19.3
B,49,female,no,5,19.6
B,50,female,no,5,20.1
B,51,male,no,5,14.4
B,52,male,yes,5,15.8
B,53,male,no,5,16
B,54,female,no,5,21.2
B,55,female,yes,5,20.6
B,56,female,no,5,24.5
B,57,male,yes,5,NA
B,58,male,no,5,15.8
B,59,male,no,5,16.2
B,60,female,yes,5,19
B,61,female,no,5,22.6
B,62,female,no,5,19.2
B,63,male,yes,5,14.6
B,64,male,no,5,15.5
B,65,male,no,5,14.6
B,66,female,yes,5,21.2
B,67,female,no,5,23.4
B,68,female,no,5,18.2
B,69,male,no,5,16
B,70,male,yes,5,15.4
B,71,male,no,5,13.5
B,72,female,no,5,20.6
B,73,female,yes,5,22.9
B,74,female,no,5,20.5
B,75,male,no,5,14.5
B,76,male,no,5,15.3
B,77,female,no,5,22.5
B,78,female,no,5,23.3
B,79,male,no,5,18
B,80,female,no,5,26.2
C,1,female,yes,5,NA
C,2,female,yes,5,NA
C,3,female,yes,5,20.8
C,4,male,yes,5,NA
C,5,male,yes,5,15.3
C,6,male,yes,5,13.4
C,7,male,no,5,13.6
C,8,female,no,5,20
C,9,male,yes,5,14.5
C,10,male,yes,5,14.5
C,11,male,yes,5,15
C,12,male,yes,5,15
C,13,male,no,5,14.9
C,14,male,no,5,14.5
C,15,female,yes,5,22.9
C,16,female,yes,5,16.1
C,17,female,yes,5,20.5
C,18,female,yes,5,17.1
C,19,female,no,5,18.4
C,20,female,no,5,23.2
C,21,male,no,5,12.3
C,22,female,no,5,17.9
C,23,female,no,5,16.6
C,24,female,yes,5,16.9
C,25,female,no,5,17.8
C,26,male,yes,5,13.8
C,27,male,no,5,13.9
C,28,male,no,5,14.8
C,29,male,no,5,14.3
C,30,male,no,5,14.6
C,31,female,yes,5,17.7
C,32,female,no,5,20.6
C,33,female,no,5,22
C,34,female,no,5,22.6
C,35,female,no,5,19.3
C,36,male,yes,5,16.3
C,37,male,no,5,13.6
C,38,male,no,5,NA
C,39,male,no,5,17.2
C,40,male,no,5,17.3
C,41,male,no,5,14
C,42,female,no,5,21.8
C,43,female,no,5,20.5
C,44,female,yes,5,NA
C,45,male,yes,5,14.5
C,46,male,yes,5,14.9
C,47,male,no,5,16.8
C,48,female,yes,5,23.3
C,49,female,yes,5,22.9
C,50,female,no,5,21.4
C,51,male,no,5,14.6
C,52,male,no,5,16.5
C,53,male,yes,5,17.5
C,54,male,no,5,14.9
C,55,male,no,5,16
C,56,female,no,5,21.7
C,57,female,no,5,21.7
C,58,female,yes,5,22.9
C,59,female,no,5,21.8
C,60,female,no,5,20.5
C,61,male,no,5,17.4
C,62,male,no,5,15
C,63,male,no,5,15.2
C,64,male,yes,5,15.9
C,65,male,no,5,13.3
C,66,female,no,5,21
C,67,female,no,5,22.8
C,68,female,yes,5,22.9
C,69,female,no,5,16.2
C,70,female,no,5,22.5
